"CRN","Course Code ","Course Title","Teaching Method","Instructor","Building","Day","Time","Room","Capacity ","Enrolled","ReservationMaj./Cap./Enrl.","Major Restriction","Prerequisites","Class Rest."
"30171","JEO 112","Genel Jeoloji","","Kürşad Kadir Eriş","MDBMDBMDB","Perşembe Cuma Cuma ","0900/1059 0900/1159 1430/1629 ","--- --- --- ","40","8","Yok/None","MAD, MADM","Yok/None","Yok/None"
"30172","JEO 121","Yer Bilimlerinde Tas. Geometri","","Ömer  Ündül","MDBMDB","Pazartesi Pazartesi ","0900/1159 1300/1659 ","--- --- ","30","8","Yok/None","JEF, JEO","Yok/None","Yok/None"
"30173","JEO 204E","Petrog. of Magmatic Rocks","","--","MDBMDB","Salı Salı ","0900/1159 1300/1659 ","--- --- ","0","0","Yok/None","JEO, JEOE, JEOM"," JEO 242 MIN DDveya JEO 242E MIN DD","Yok/None"
"30174","JEO 256E","Structural Geology","","--","MDBMDB","Salı Salı ","0900/1159 1300/1659 ","--- --- ","0","0","Yok/None","JEO, JEOE, JEOM"," JEO 115 MIN DDveya JEO 115E MIN DDveya JEO 114 MIN DDveya JEO 114E MIN DDveya JEO 112 MIN DDveya JEO 112E MIN DD","Yok/None"
"30175","JEO 262E","Stratigraphy","","--","MDBMDB","Cuma Cuma ","0900/1159 1430/1629 ","--- --- ","0","0","Yok/None","JEO, JEOE, JEOM","Yok/None","Yok/None"
"30176","JEO 348","Sedimenter Kayaç Petrografisi","","--","MDBMDB","Çarşamba Çarşamba ","0900/1159 1300/1659 ","--- --- ","0","0","Yok/None","JEO, JEOM"," JEO 242 MIN DDveya JEO 242E MIN DD","Yok/None"
"30177","JEO 411E","Tectonics","","--","MDBMDB","Çarşamba Çarşamba ","0900/1159 1300/1659 ","--- --- ","0","0","Yok/None","JEO, JEOE, JEOM"," JEO 256 MIN DDveya JEO 256E MIN DDveya JEO 252 MIN DDveya JEO 252E MIN DD","Yok/None"
