CRN,Course Code ,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity ,Enrolled,ReservationMaj./Cap./Enrl.,Major Restriction,Prerequisites,Class Rest.
30110,INS 102,Statik,,Erol  Demirkan,INBINBINB,Pazartesi Salı Çarşamba ,0900/1229 0930/1229 0930/1229 ,A102 A102 A102 ,70,78,Yok/None,INS, FIZ 101 MIN DDveya FIZ 101E MIN DDveya FIZ 111 MIN DDveya FIZ 111E MIN DDveya FIZ 113 MIN DDveya FIZ 113E MIN DD,Yok/None
30376,INS 102E,Statics,,Sedat  Kömürcü,INBINBINB,Pazartesi Pazartesi Perşembe ,0830/1229 1330/1659 0830/1029 ,A203 A203 A203 ,40,31,Yok/None,INS, INSE, FIZ 101 MIN DDveya FIZ 101E MIN DDveya FIZ 111 MIN DDveya FIZ 111E MIN DDveya FIZ 113 MIN DDveya FIZ 113E MIN DD,Yok/None
30112,INS 217,Mukavemet I,,Teoman  Özer,INBINBINB,Pazartesi Pazartesi Çarşamba ,0830/1229 1330/1729 0830/0959 ,B201 B201 B201 ,35,26,Yok/None,INS, STA 201 MIN DDveya STA 201E MIN DDveya STA 202 MIN DDveya STA 202E MIN DDveya INS 102 MIN DDveya INS 102E MIN DDveya STA 204 MIN DDveya STA 204E MIN DD,Yok/None
30377,INS 217E,Strength of Materials I,,Sedat  Kömürcü,INBINBINB,Salı Salı Perşembe ,0830/1229 1330/1659 1030/1229 ,A203 A203 A203 ,40,13,Yok/None,INS, INSE, STA 201 MIN DDveya STA 201E MIN DDveya STA 202 MIN DDveya STA 202E MIN DDveya INS 102 MIN DDveya INS 102E MIN DDveya STA 204 MIN DDveya STA 204E MIN DD,Yok/None
30113,INS 218,Mukavemet II,,Teoman  Özer,INBINBINB,Salı Salı Çarşamba ,0830/1229 1330/1729 1030/1159 ,B201 B201 B201 ,35,36,Yok/None,INS, MUK 201 MIN DDveya MUK 201E MIN DDveya INS 217 MIN DDveya INS 217E MIN DDveya MUK 203 MIN DDveya MUK 203E MIN DDveya MUK 205 MIN DDveya MUK 205E MIN DD,Yok/None
30378,INS 218E,Strength of Materials II,,Sedat  Kömürcü,INBINBINB,Çarşamba Çarşamba Perşembe ,0830/1229 1330/1659 1330/1529 ,A203 A203 A203 ,40,38,Yok/None,INS, INSE, MUK 201 MIN DDveya MUK 201E MIN DDveya INS 217 MIN DDveya INS 217E MIN DDveya MUK 203 MIN DDveya MUK 203E MIN DDveya MUK 205 MIN DDveya MUK 205E MIN DD,Yok/None
30359,INS 232E,Surveying,,Ramazan Alper Kuçak,INBINB,Çarşamba Perşembe ,1330/1629 1200/1559 ,A101 A101 ,50,16,Yok/None,INS, INSE,Yok/None,Yok/None
30210,INS 302,Karayolu Mühendisliği,,--,INBINBINB,Pazartesi Salı Çarşamba ,0930/1229 0930/1229 0900/1229 ,--- --- --- ,0,0,Yok/None,INS, INS 351 MIN DDveya INS 351E MIN DDveya INS 325 MIN DDveya INS 325E MIN DD,Yok/None
30293,INS 302E,Highway Engineering,,Hüseyin Onur Tezcan,INBINBINB,Pazartesi Salı Çarşamba ,0930/1229 0930/1229 0900/1229 ,A301 A301 A301 ,30,29,Yok/None,AIN, INS, INSE, INS 351 MIN DDveya INS 351E MIN DDveya INS 325 MIN DDveya INS 325E MIN DD,Yok/None
30392,INS 354,Hidroloji,,Yavuz Selim Güçlü,INBINB,Pazartesi Pazartesi ,0830/1229 1330/1629 ,A201 A201 ,25,23,Yok/None,INS,Yok/None,Yok/None
30114,INS 354,Hidroloji,,Yavuz Selim Güçlü,INBINB,Salı Salı ,0830/1229 1330/1629 ,A201 A201 ,25,23,Yok/None,INS,Yok/None,Yok/None
30318,INS 360,Hidrolik,,Necati Erdem Ünal,INBINBINB,Pazartesi Salı Cuma ,1330/1729 0830/1229 0900/1029 ,A202 A202 A202 ,30,15,Yok/None,CEV, INS, AKM 204 MIN DDveya AKM 204E MIN DD,Yok/None
30319,INS 360,Hidrolik,,Necati Erdem Ünal,INBINBINB,Çarşamba Çarşamba Cuma ,0830/1229 1330/1729 1030/1159 ,A202 A202 A202 ,30,29,Yok/None,CEV, INS, AKM 204 MIN DDveya AKM 204E MIN DD,Yok/None
30321,INS 360E,Hydraulics,,Erdal  Kesgin,INBINBINB,Salı Salı Perşembe ,0900/1229 1330/1659 0900/1129 ,B202 B202 B202 ,25,23,Yok/None,AIN, CEV, CEVE, INS, INSE, AKM 204 MIN DDveya AKM 204E MIN DD,Yok/None
30211,INS 403E,Earthworks,,Hüseyin Onur Tezcan,INBINB,Pazartesi Salı ,1330/1559 1330/1559 ,A301 A301 ,60,48,Yok/None,AIN, INS, INSE, INS 342 MIN DDveya INS 342E MIN DDveya INS 302 MIN DDveya INS 302E MIN DD,Yok/None
