CRN,Course Code ,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity ,Enrolled,ReservationMaj./Cap./Enrl.,Major Restriction,Prerequisites,Class Rest.
30395,DEN 325E,Adv. Manufacturing Process,,Necip  Ünlü,GDBGDB,Pazartesi Pazartesi ,0900/1159 1300/1659 ,D311 D311 ,40,23,Yok/None,DEN, DENE, MAL 201 MIN DDveya MAL 201E MIN DD,Yok/None
30364,DEN 482,Bireysel Proje,,Kadir  Sarıöz,---,---- ,/ ,--- ,1,0,Yok/None,DEN,Yok/None,4.Sınıf
