"CRN","Course Code ","Course Title","Teaching Method","Instructor","Building","Day","Time","Room","Capacity ","Enrolled","ReservationMaj./Cap./Enrl.","Major Restriction","Prerequisites","Class Rest."
"30209","GEM 321E","Ship Theory","","Erdem  Üçer","GDBGDBGDB","Çarşamba Çarşamba Cuma ","0930/1229 1330/1659 0900/1159 ","409 409 409 ","65","66","Yok/None","GEM, GEME, GEMK"," GEM 102 MIN DDveya GEM 211 MIN DD","Yok/None"
"30397","GEM 325","Gemi Yapı Elemanları","","İsmail  Bayer","GDBGDBGDB","Salı Salı Perşembe ","0930/1229 1330/1659 0930/1229 ","409 409 409 ","40","27","Yok/None","GEM"," GEM 203 MIN DDveya MUK 203 MIN DDveya MUK 209 MIN DD","Yok/None"
"30363","GEM 482","Bireysel Bitirme Projesi","","Selma  Ergin","---","---- ","/ ","--- ","13","10","Yok/None","GEM","Yok/None","Yok/None"
