"CRN","Course Code ","Course Title","Teaching Method","Instructor","Building","Day","Time","Room","Capacity ","Enrolled","ReservationMaj./Cap./Enrl.","Major Restriction","Prerequisites","Class Rest."
"30178","TER 201","Termodinamik","","Birgül  Benli","MDBMDB","Çarşamba Çarşamba ","0830/1229 1330/1629 ","--- --- ","50","20","Yok/None","CEV, CHZ, DEN, EHB, GEM, ISL, JEO, KMM, KOM, KON, PET"," (KIM 101 MIN DDveya KIM 101E MIN DD)ve (FIZ 101 MIN DDveya FIZ 101E MIN DDveya FIZ 111 MIN DD)","Yok/None"
"30393","TER 201E","Thermodynamics","","Ali İhsan  Koca","MKBMKB","Pazartesi Salı ","1330/1729 1330/1629 ","A201 A363 ","100","43","Yok/None","CEV, CEVE, CHZE, DENE, EHBE, GEME, GEMK, ISLE, JEF, JEOE, KMME, KOME, MAD, PETE, TEK, TEKE"," (KIM 101E MIN DDveya KIM 101 MIN DD)ve (FIZ 101E MIN DDveya FIZ 101 MIN DDveya FIZ 111E MIN DD)","Yok/None"
