CRN,Course Code ,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity ,Enrolled,ReservationMaj./Cap./Enrl.,Major Restriction,Prerequisites,Class Rest.
30286,EEF 211E,Basics of Electrical Circuits,,Metin  Hüner,EEBEEB,Salı Perşembe ,1230/1629 1330/1629 ,5102 5102 ,55,63,Yok/None,EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, MAT 281 MIN DDveya MAT 281E MIN DDveya EEF 281 MIN DDveya EEF 281E MIN DD,Yok/None
30303,EEF 211E,Basics of Electrical Circuits,,Bilgi Görkem Yazgaç,EEBEEB,Salı Perşembe ,1230/1629 1330/1629 ,5104 5104 ,55,64,Yok/None,EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, MAT 281 MIN DDveya MAT 281E MIN DDveya EEF 281 MIN DDveya EEF 281E MIN DD,Yok/None
30315,EEF 262E,Fundamentals of Electronics,,İsmail Serdar Özoğuz,EEBEEBEEB,Pazartesi Pazartesi Çarşamba ,0930/1229 1330/1629 0930/1259 ,6309 6309 6309 ,100,103,Yok/None,EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, EHB 211 MIN DDveya EHB 211E MIN DDveya EEF 211 MIN DDveya EEF 211E MIN DD,Yok/None
30316,EEF 262E,Fundamentals of Electronics,,Mustafa  Altun, Hacer  Atar Yıldız,EEBEEBEEB,Pazartesi Pazartesi Çarşamba ,0930/1229 1330/1629 0930/1259 ,5202 5202 5202 ,100,106,Yok/None,EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, EHB 211 MIN DDveya EHB 211E MIN DDveya EEF 211 MIN DDveya EEF 211E MIN DD,Yok/None
