"CRN","Course Code ","Course Title","Teaching Method","Instructor","Building","Day","Time","Room","Capacity ","Enrolled","ReservationMaj./Cap./Enrl.","Major Restriction","Prerequisites","Class Rest."
"30317","AKM 204","Akışkanlar Mekaniği","","Necati Erdem Ünal","INBINB","Pazartesi Salı ","0930/1229 1330/1729 ","A202 A202 ","30","27","Yok/None","CEV, DUI, INS"," MAT 102 MIN DDveya MAT 102E MIN DDveya MAT 104 MIN DDveya MAT 104E MIN DD","Yok/None"
"30320","AKM 204E","Fluid Mechanics","","Erdal  Kesgin","INBINB","Çarşamba Çarşamba ","0900/1229 1330/1659 ","B202 B202 ","30","40","Yok/None","CEV, CEVE, INS, INSE"," MAT 102 MIN DDveya MAT 102E MIN DDveya MAT 104 MIN DDveya MAT 104E MIN DD","Yok/None"
