"CRN","Course Code ","Course Title","Teaching Method","Instructor","Building","Day","Time","Room","Capacity ","Enrolled","ReservationMaj./Cap./Enrl.","Major Restriction","Prerequisites","Class Rest."
"30129","CAB 144","Yrd.Çalgı Piyano II","","Alper  Rumelioğlu","TMBTMB","Perşembe Cuma ","1530/1729 0930/1229 ","--- --- ","10","3","Yok/None","BST, CAB, CEB, KMP","Yok/None","Yok/None"
"30301","CAB 178","Piyano II","","Alper  Rumelioğlu","TMBTMB","Pazartesi Çarşamba ","0930/1229 1330/1529 ","--- --- ","10","3","Yok/None","MTR, MUT, MUZ, MZT, SES"," CAB 177 MIN CCveya CAB 177E MIN CCveya CAB 141 MIN CC","Yok/None"
"30130","CAB 243","Yrd.Çalgı Piyano III","","Alper  Rumelioğlu","TMBTMB","Pazartesi Salı ","1330/1529 1330/1629 ","--- --- ","15","8","Yok/None","BST, CAB, CEB, KMP","Yok/None","Yok/None"
"30302","CAB 278","Piyano IV","","Alper  Rumelioğlu","TMBTMB","Pazartesi Salı ","1530/1729 0930/1229 ","--- --- ","10","2","Yok/None","MTR, MUT, MZT, SES"," CAB 277 MIN CCveya CAB 241 MIN CCveya CAB 277E MIN CC","Yok/None"
"30131","CAB 343","Yrd.Çalgı Piyano  V","","Alper  Rumelioğlu","TMBTMB","Çarşamba Perşembe ","0930/1229 1330/1529 ","--- --- ","15","8","Yok/None","BST, CAB, CEB, KMP, SES","Yok/None","Yok/None"
"30132","CAB 444","Yrd.Çalgı Piyano  VIII","","Alper  Rumelioğlu","TMBTMB","Perşembe Cuma ","0930/1229 1330/1529 ","--- --- ","10","4","Yok/None","BST, CAB, CEB, KMP","Yok/None","Yok/None"
"30221","CAB 734","Toplu Uygulama II (THM)","","Cihangir  Terzi","TMBTMBTMB","Pazartesi Salı Çarşamba ","0930/1229 0930/1229 1330/1659 ","--- --- --- ","10","0","Yok/None","CAB, CEB, CGM1, CGM2, CGM3, CGM4, CGM5, CGM8","Yok/None","Yok/None"
"30133","CAB 763","Toplu Uygulama VII (THM)","","Cihangir  Terzi","TMBTMBTMB","Pazartesi Salı Çarşamba ","0930/1229 0930/1229 1330/1659 ","--- --- --- ","10","6","Yok/None","CAB, CEB, CGM1, CGM2, CGM3, CGM4, CGM5, CGM8","Yok/None","Yok/None"
